mean_threshold,min_threshold,n_kept_local,n_escalated,escalation_rate,local_accuracy
-1.0,-1.8,254,15,0.055762081784386616,0.8700787401574803
-1.0,-1.6,242,27,0.10037174721189591,0.8842975206611571
-1.0,-1.4,228,41,0.1524163568773234,0.9035087719298246
-1.0,-1.2,209,60,0.22304832713754646,0.937799043062201
-1.0,-1.0,200,69,0.25650557620817843,0.945
-1.0,-0.8,173,96,0.35687732342007433,0.953757225433526
-1.0,-0.6,100,169,0.6282527881040892,0.96
-1.0,-0.4,39,230,0.8550185873605948,0.9487179487179487
-1.0,-0.2,8,261,0.9702602230483272,0.875
-1.0,0.0,1,268,0.9962825278810409,1.0
-0.9,-5.0,269,0,0.0,0.8698884758364313
-0.9,-4.8,269,0,0.0,0.8698884758364313
-0.9,-4.6,269,0,0.0,0.8698884758364313
-0.9,-4.4,269,0,0.0,0.8698884758364313
-0.9,-4.2,269,0,0.0,0.8698884758364313
-0.9,-4.0,269,0,0.0,0.8698884758364313
-0.9,-3.8,269,0,0.0,0.8698884758364313
-0.9,-3.6,269,0,0.0,0.8698884758364313
-0.9,-3.4,269,0,0.0,0.8698884758364313
-0.9,-3.2,269,0,0.0,0.8698884758364313
-0.9,-3.0,268,1,0.0037174721189591076,0.8694029850746269
-0.9,-2.8,268,1,0.0037174721189591076,0.8694029850746269
-0.9,-2.6,268,1,0.0037174721189591076,0.8694029850746269
-0.9,-2.4,265,4,0.01486988847583643,0.8679245283018868
-0.9,-2.2,261,8,0.02973977695167286,0.8659003831417624
-0.9,-2.0,259,10,0.03717472118959108,0.8687258687258688
-0.9,-1.8,254,15,0.055762081784386616,0.8700787401574803
-0.9,-1.6,242,27,0.10037174721189591,0.8842975206611571
-0.9,-1.4,228,41,0.1524163568773234,0.9035087719298246
-0.9,-1.2,209,60,0.22304832713754646,0.937799043062201
-0.9,-1.0,200,69,0.25650557620817843,0.945
-0.9,-0.8,173,96,0.35687732342007433,0.953757225433526
-0.9,-0.6,100,169,0.6282527881040892,0.96
-0.9,-0.4,39,230,0.8550185873605948,0.9487179487179487
-0.9,-0.2,8,261,0.9702602230483272,0.875
-0.9,0.0,1,268,0.9962825278810409,1.0
-0.8,-5.0,269,0,0.0,0.8698884758364313
-0.8,-4.8,269,0,0.0,0.8698884758364313
-0.8,-4.6,269,0,0.0,0.8698884758364313
-0.8,-4.4,269,0,0.0,0.8698884758364313
-0.8,-4.2,269,0,0.0,0.8698884758364313
-0.8,-4.0,269,0,0.0,0.8698884758364313
-0.8,-3.8,269,0,0.0,0.8698884758364313
-0.8,-3.6,269,0,0.0,0.8698884758364313
-0.8,-3.4,269,0,0.0,0.8698884758364313
-0.8,-3.2,269,0,0.0,0.8698884758364313
-0.8,-3.0,268,1,0.0037174721189591076,0.8694029850746269
-0.8,-2.8,268,1,0.0037174721189591076,0.8694029850746269
-0.8,-2.6,268,1,0.0037174721189591076,0.8694029850746269
-0.8,-2.4,265,4,0.01486988847583643,0.8679245283018868
-0.8,-2.2,261,8,0.02973977695167286,0.8659003831417624
-0.8,-2.0,259,10,0.03717472118959108,0.8687258687258688
-0.8,-1.8,254,15,0.055762081784386616,0.8700787401574803
-0.8,-1.6,242,27,0.10037174721189591,0.8842975206611571
-0.8,-1.4,228,41,0.1524163568773234,0.9035087719298246
-0.8,-1.2,209,60,0.22304832713754646,0.937799043062201
-0.8,-1.0,200,69,0.25650557620817843,0.945
-0.8,-0.8,173,96,0.35687732342007433,0.953757225433526
-0.8,-0.6,100,169,0.6282527881040892,0.96
-0.8,-0.4,39,230,0.8550185873605948,0.9487179487179487
-0.8,-0.2,8,261,0.9702602230483272,0.875
-0.8,0.0,1,268,0.9962825278810409,1.0
-0.7,-5.0,269,0,0.0,0.8698884758364313
-0.7,-4.8,269,0,0.0,0.8698884758364313
-0.7,-4.6,269,0,0.0,0.8698884758364313
-0.7,-4.4,269,0,0.0,0.8698884758364313
-0.7,-4.2,269,0,0.0,0.8698884758364313
-0.7,-4.0,269,0,0.0,0.8698884758364313
-0.7,-3.8,269,0,0.0,0.8698884758364313
-0.7,-3.6,269,0,0.0,0.8698884758364313
-0.7,-3.4,269,0,0.0,0.8698884758364313
-0.7,-3.2,269,0,0.0,0.8698884758364313
-0.7,-3.0,268,1,0.0037174721189591076,0.8694029850746269
-0.7,-2.8,268,1,0.0037174721189591076,0.8694029850746269
-0.7,-2.6,268,1,0.0037174721189591076,0.8694029850746269
-0.7,-2.4,265,4,0.01486988847583643,0.8679245283018868
-0.7,-2.2,261,8,0.02973977695167286,0.8659003831417624
-0.7,-2.0,259,10,0.03717472118959108,0.8687258687258688
-0.7,-1.8,254,15,0.055762081784386616,0.8700787401574803
-0.7,-1.6,242,27,0.10037174721189591,0.8842975206611571
-0.7,-1.4,228,41,0.1524163568773234,0.9035087719298246
-0.7,-1.2,209,60,0.22304832713754646,0.937799043062201
-0.7,-1.0,200,69,0.25650557620817843,0.945
-0.7,-0.8,173,96,0.35687732342007433,0.953757225433526
-0.7,-0.6,100,169,0.6282527881040892,0.96
-0.7,-0.4,39,230,0.8550185873605948,0.9487179487179487
-0.7,-0.2,8,261,0.9702602230483272,0.875
-0.7,0.0,1,268,0.9962825278810409,1.0
-0.6,-5.0,267,2,0.007434944237918215,0.8689138576779026
-0.6,-4.8,267,2,0.007434944237918215,0.8689138576779026
-0.6,-4.6,267,2,0.007434944237918215,0.8689138576779026
-0.6,-4.4,267,2,0.007434944237918215,0.8689138576779026
-0.6,-4.2,267,2,0.007434944237918215,0.8689138576779026
-0.6,-4.0,267,2,0.007434944237918215,0.8689138576779026
-0.6,-3.8,267,2,0.007434944237918215,0.8689138576779026
-0.6,-3.6,267,2,0.007434944237918215,0.8689138576779026
-0.6,-3.4,267,2,0.007434944237918215,0.8689138576779026
-0.6,-3.2,267,2,0.007434944237918215,0.8689138576779026
-0.6,-3.0,266,3,0.011152416356877323,0.868421052631579
-0.6,-2.8,266,3,0.011152416356877323,0.868421052631579
-0.6,-2.6,266,3,0.011152416356877323,0.868421052631579
-0.6,-2.4,264,5,0.01858736059479554,0.8674242424242424
-0.6,-2.2,261,8,0.02973977695167286,0.8659003831417624
-0.6,-2.0,259,10,0.03717472118959108,0.8687258687258688
-0.6,-1.8,254,15,0.055762081784386616,0.8700787401574803
-0.6,-1.6,242,27,0.10037174721189591,0.8842975206611571
-0.6,-1.4,228,41,0.1524163568773234,0.9035087719298246
-0.6,-1.2,209,60,0.22304832713754646,0.937799043062201
-0.6,-1.0,200,69,0.25650557620817843,0.945
-0.6,-0.8,173,96,0.35687732342007433,0.953757225433526
-0.6,-0.6,100,169,0.6282527881040892,0.96
-0.6,-0.4,39,230,0.8550185873605948,0.9487179487179487
-0.6,-0.2,8,261,0.9702602230483272,0.875
-0.6,0.0,1,268,0.9962825278810409,1.0
-0.5,-5.0,261,8,0.02973977695167286,0.8659003831417624
-0.5,-4.8,261,8,0.02973977695167286,0.8659003831417624
-0.5,-4.6,261,8,0.02973977695167286,0.8659003831417624
-0.5,-4.4,261,8,0.02973977695167286,0.8659003831417624
-0.5,-4.2,261,8,0.02973977695167286,0.8659003831417624
-0.5,-4.0,261,8,0.02973977695167286,0.8659003831417624
-0.5,-3.8,261,8,0.02973977695167286,0.8659003831417624
-0.5,-3.6,261,8,0.02973977695167286,0.8659003831417624
-0.5,-3.4,261,8,0.02973977695167286,0.8659003831417624
-0.5,-3.2,261,8,0.02973977695167286,0.8659003831417624
-0.5,-3.0,261,8,0.02973977695167286,0.8659003831417624
-0.5,-2.8,261,8,0.02973977695167286,0.8659003831417624
-0.5,-2.6,261,8,0.02973977695167286,0.8659003831417624
-0.5,-2.4,261,8,0.02973977695167286,0.8659003831417624
-0.5,-2.2,258,11,0.040892193308550186,0.8643410852713178
-0.5,-2.0,257,12,0.04460966542750929,0.867704280155642
-0.5,-1.8,253,16,0.05947955390334572,0.8695652173913043
-0.5,-1.6,242,27,0.10037174721189591,0.8842975206611571
-0.5,-1.4,228,41,0.1524163568773234,0.9035087719298246
-0.5,-1.2,209,60,0.22304832713754646,0.937799043062201
-0.5,-1.0,200,69,0.25650557620817843,0.945
-0.5,-0.8,173,96,0.35687732342007433,0.953757225433526
-0.5,-0.6,100,169,0.6282527881040892,0.96
-0.5,-0.4,39,230,0.8550185873605948,0.9487179487179487
-0.5,-0.2,8,261,0.9702602230483272,0.875
-0.5,0.0,1,268,0.9962825278810409,1.0
-0.4,-5.0,249,20,0.07434944237918216,0.8634538152610441
-0.4,-4.8,249,20,0.07434944237918216,0.8634538152610441
-0.4,-4.6,249,20,0.07434944237918216,0.8634538152610441
-0.4,-4.4,249,20,0.07434944237918216,0.8634538152610441
-0.4,-4.2,249,20,0.07434944237918216,0.8634538152610441
-0.4,-4.0,249,20,0.07434944237918216,0.8634538152610441
-0.4,-3.8,249,20,0.07434944237918216,0.8634538152610441
-0.4,-3.6,249,20,0.07434944237918216,0.8634538152610441
-0.4,-3.4,249,20,0.07434944237918216,0.8634538152610441
-0.4,-3.2,249,20,0.07434944237918216,0.8634538152610441
-0.4,-3.0,249,20,0.07434944237918216,0.8634538152610441
-0.4,-2.8,249,20,0.07434944237918216,0.8634538152610441
-0.4,-2.6,249,20,0.07434944237918216,0.8634538152610441
-0.4,-2.4,249,20,0.07434944237918216,0.8634538152610441
