mean_threshold,min_threshold,n_kept_local,n_escalated,escalation_rate,local_accuracy
-0.3,-0.2,8,261,0.9702602230483272,0.875
-0.3,0.0,1,268,0.9962825278810409,1.0
-0.2,-5.0,218,51,0.1895910780669145,0.8761467889908257
-0.2,-4.8,218,51,0.1895910780669145,0.8761467889908257
-0.2,-4.6,218,51,0.1895910780669145,0.8761467889908257
-0.2,-4.4,218,51,0.1895910780669145,0.8761467889908257
-0.2,-4.2,218,51,0.1895910780669145,0.8761467889908257
-0.2,-4.0,218,51,0.1895910780669145,0.8761467889908257
-0.2,-3.8,218,51,0.1895910780669145,0.8761467889908257
-0.2,-3.6,218,51,0.1895910780669145,0.8761467889908257
-0.2,-3.4,218,51,0.1895910780669145,0.8761467889908257
-0.2,-3.2,218,51,0.1895910780669145,0.8761467889908257
-0.2,-3.0,218,51,0.1895910780669145,0.8761467889908257
-0.2,-2.8,218,51,0.1895910780669145,0.8761467889908257
-0.2,-2.6,218,51,0.1895910780669145,0.8761467889908257
-0.2,-2.4,218,51,0.1895910780669145,0.8761467889908257
-0.2,-2.2,218,51,0.1895910780669145,0.8761467889908257
-0.2,-2.0,218,51,0.1895910780669145,0.8761467889908257
-0.2,-1.8,217,52,0.19330855018587362,0.880184331797235
-0.2,-1.6,215,54,0.20074349442379183,0.8883720930232558
-0.2,-1.4,205,64,0.2379182156133829,0.9121951219512195
-0.2,-1.2,193,76,0.2825278810408922,0.9430051813471503
-0.2,-1.0,189,80,0.29739776951672864,0.9470899470899471
-0.2,-0.8,170,99,0.3680297397769517,0.9588235294117647
-0.2,-0.6,100,169,0.6282527881040892,0.96
-0.2,-0.4,39,230,0.8550185873605948,0.9487179487179487
-0.2,-0.2,8,261,0.9702602230483272,0.875
-0.2,0.0,1,268,0.9962825278810409,1.0
-0.1,-5.0,88,181,0.6728624535315985,0.9772727272727273
-0.1,-4.8,88,181,0.6728624535315985,0.9772727272727273
-0.1,-4.6,88,181,0.6728624535315985,0.9772727272727273
-0.1,-4.4,88,181,0.6728624535315985,0.9772727272727273
-0.1,-4.2,88,181,0.6728624535315985,0.9772727272727273
-0.1,-4.0,88,181,0.6728624535315985,0.9772727272727273
-0.1,-3.8,88,181,0.6728624535315985,0.9772727272727273
-0.1,-3.6,88,181,0.6728624535315985,0.9772727272727273
-0.1,-3.4,88,181,0.6728624535315985,0.9772727272727273
-0.1,-3.2,88,181,0.6728624535315985,0.9772727272727273
-0.1,-3.0,88,181,0.6728624535315985,0.9772727272727273
-0.1,-2.8,88,181,0.6728624535315985,0.9772727272727273
-0.1,-2.6,88,181,0.6728624535315985,0.9772727272727273
-0.1,-2.4,88,181,0.6728624535315985,0.9772727272727273
-0.1,-2.2,88,181,0.6728624535315985,0.9772727272727273
-0.1,-2.0,88,181,0.6728624535315985,0.9772727272727273
-0.1,-1.8,88,181,0.6728624535315985,0.9772727272727273
-0.1,-1.6,88,181,0.6728624535315985,0.9772727272727273
-0.1,-1.4,88,181,0.6728624535315985,0.9772727272727273
-0.1,-1.2,87,182,0.6765799256505576,0.9770114942528736
-0.1,-1.0,86,183,0.6802973977695167,0.9767441860465116
-0.1,-0.8,83,186,0.6914498141263941,0.9759036144578314
-0.1,-0.6,64,205,0.7620817843866171,0.984375
-0.1,-0.4,34,235,0.8736059479553904,0.9705882352941176
-0.1,-0.2,8,261,0.9702602230483272,0.875
-0.1,0.0,1,268,0.9962825278810409,1.0
0.0,-5.0,1,268,0.9962825278810409,1.0
0.0,-4.8,1,268,0.9962825278810409,1.0
0.0,-4.6,1,268,0.9962825278810409,1.0
0.0,-4.4,1,268,0.9962825278810409,1.0
0.0,-4.2,1,268,0.9962825278810409,1.0
0.0,-4.0,1,268,0.9962825278810409,1.0
0.0,-3.8,1,268,0.9962825278810409,1.0
0.0,-3.6,1,268,0.9962825278810409,1.0
0.0,-3.4,1,268,0.9962825278810409,1.0
0.0,-3.2,1,268,0.9962825278810409,1.0
0.0,-3.0,1,268,0.9962825278810409,1.0
0.0,-2.8,1,268,0.9962825278810409,1.0
0.0,-2.6,1,268,0.9962825278810409,1.0
0.0,-2.4,1,268,0.9962825278810409,1.0
0.0,-2.2,1,268,0.9962825278810409,1.0
0.0,-2.0,1,268,0.9962825278810409,1.0
0.0,-1.8,1,268,0.9962825278810409,1.0
0.0,-1.6,1,268,0.9962825278810409,1.0
0.0,-1.4,1,268,0.9962825278810409,1.0
0.0,-1.2,1,268,0.9962825278810409,1.0
0.0,-1.0,1,268,0.9962825278810409,1.0
0.0,-0.8,1,268,0.9962825278810409,1.0
0.0,-0.6,1,268,0.9962825278810409,1.0
0.0,-0.4,1,268,0.9962825278810409,1.0
0.0,-0.2,1,268,0.9962825278810409,1.0
0.0,0.0,1,268,0.9962825278810409,1.0
